source_table,match_field,match_value,level_code,level_label,program_code,program_label
oo_1_2_7_1_209,column_name,начального общего образования - всего (1–4 классы,1.2,Начальное общее образование,,
oo_1_2_7_1_209,column_name,основного общего образования - всего (5–9 классы),1.3,Основное общее образование,,
oo_1_2_7_1_209,column_name,среднего общего образования - всего (10–11(12) классы,1.4,Среднее общее образование,,
oo_1_2_7_2_211,column_name,начального общего образования – всего,1.2,Начальное общее образование,,
oo_1_2_7_2_211,column_name,основного общего образования – всего,1.3,Основное общее образование,,
oo_1_2_7_2_211,column_name,среднего общего образования – всего,1.4,Среднее общее образование,,
спо_1_р2_101_43,column_metadata_2,"Программы подготовки квалифицированных рабочих, служащих",2.5,Среднее профессиональное образование,2.5.1,"Программы подготовки квалифицированных рабочих, служащих"
спо_1_р2_101_43,column_metadata_2,Программы подготовки специалистов среднего звена,2.5,Среднее профессиональное образование,2.5.2,Программы подготовки специалистов среднего звена
впо_1_р2_13_54,column_metadata_1,Программы бакалавриата,2.6,Высшее образование — бакалавриат,,
впо_1_р2_13_54,column_metadata_1,Программы специалитета,2.7,Высшее образование — специалитет,,
впо_1_р2_13_54,column_metadata_1,Программы магистратуры,2.8,Высшее образование — магистратура,,
пк_1_2_4_180,row_name,в том числе обученных по программам:          повышения квалификации,4.8b,Дополнительное профессиональное образование,4.8b.1,Программы повышения квалификации
пк_1_2_4_180,row_name,профессиональной переподготовки,4.8b,Дополнительное профессиональное образование,4.8b.2,Программы профессиональной переподготовки
